Archive,ID,Possession Status,Floor No,Commercial,Developer,Approved Authority Name,Units Available,Price,Flooring Type,Electricity Status,Maintenance Type,Maintenance Charges,Booking Amount,Landmark,Covered Area,Project Name,sqft Price,Carpet Area,Area Name,Property Uniqueness,Unit of Carpet Area,Society,Ownership Type,furnished Type,Bathroom,Parking,Facing,Amenities Facing,Transaction Type,Floor Data,Type of Property,City,bedroom,floors,Water Status,Luxury Flat,Carpet Area Unit,isPrimeLocationProperty,Location,Property,covArea Unit,isLuxuryServiceProvided,Property Lifespan,balconies,Rera,Power Back Up,Lift,Rain Water Harvesting,Club House,Swimming Pool,Gymnasium,Park,Parking2,Security,Water Storage,Private Terrace/Garden,Vaastu Compliant,Service/Goods Lift,Air Conditioned,Visitor Parking,Intercom Facility,Maintenance Staff,Waste Disposal,Laundry Service,Internet/Wi-Fi Connectivity,DTH Television Facility,RO Water System,Banquet Hall,Bar/Lounge,Cafeteria/Food Court,Conference Room,Piped Gas,Jogging and Strolling Track,Outdoor Tennis Courts,Mansion,Downtown,Skyline View,Wrap Around Balcony,Island Kitchen Layout,Full Glass Wall,House help accommodation,Concierge Services,Garden View,Marble flooring,Well Furnished,Modular Kitchen,Helipad,Private pool,Private Jaccuzi,Mini Cinema Theatre,Golf Course,Infinity Swimming Pool,Pool with temperature control,Sea facing,Skydeck,Earth quake resistant,Theme based Architectures,Health club with Steam / Jaccuzi,Large Clubhouse,Large Open space,Fingerprint Access,Grand Entrance lobby,Private Garage,Fireplace,Wine Cellar,Sky Villa,Water Front,Hilltop,Smart Home,Barbeque space,Kids play area,Library,Puja Room,Study,Servant Room,Store,Aerobics Room,Canopy Walk,Coffee Lounge & Restaurants,Dance Studio,Event Space & Amphitheatre,Flower Gardens,Guest Accommodation,Indoor Squash & Badminton Courts,Kids Play Pool With Water Slides,Library And Business Centre,Meditation Area,Multipurpose Courts,Recreational Pool,Rentable CommuniPfty Space,Retail Boulevard (Retail Shops),Cycling & Jogging Track,Fire Fighting Equipment,Aesthetically designed landscape garden,Possession By,Land Area / Covered Area,Land Area Unit,Pantry Type
properties_csv.zip,11460,Ready to Move,0,N,NA,NA,NA,2850000,Vitrified,No/Rare Powercut,Monthly,585,NA,Near Sarthak Park,500,NA,5700,390,Dombivli East,NA,Sq-ft,N,Freehold,Unfurnished,1,NA,South - East,NA,Resale,Ground of 4 Floor,Apartment,Thane,1,4,Water Availability 24 Hours Available,F,Sq-ft,Y,"Dombivli East, Thane",1 BHK Flat,Sq-ft,0,Less than 5 years,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
properties_csv.zip,11459,Ready to Move,5,N,NA,NA,NA,8500000,NA,NA,NA,NA,NA,NA,1070,NA,7944,750,Dombivli East,East Facing Property,Sq-ft,N,Co-operative Society,Unfurnished,2,NA,East,NA,Resale,5 of 7 Floor,Apartment,Thane,3,7,NA,F,Sq-ft,Y,"Dombivli East, Thane",3 BHK Flat,Sq-ft,0,Less than 5 years,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
properties_csv.zip,11458,Ready to Move,4,N,NA,NA,NA,4200000,Vitrified,NA,NA,NA,NA,Gajanand Chowk Dombivali East,891,NA,4714,650,Dombivli East,NA,Sq-ft,N,Co-operative Society,Semi-Furnished,2,NA,East,Main Road,Resale,4 of 5 Floor,Apartment,Thane,2,5,NA,F,Sq-ft,Y,"Dombivli East, Thane",2 BHK Flat,Sq-ft,0,New Construction,3,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
properties_csv.zip,11457,Ready to Move,15,N,Lodha,NA,NA,7400000,"Vitrified,Wooden,Marble",NA,NA,NA,NA,NA,798,Lodha Casa Bella City,9273,NA,Dombivli East,Newly Constructed Property,Sq-ft,N,Co-operative Society,Unfurnished,2,NA,North,NA,New Property,15 of 19 Floor,Apartment,Thane,3,19,NA,F,NA,N,"Dombivli East, Thane",3 BHK Flat,Sq-ft,0,Less than 5 years,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
properties_csv.zip,11456,Ready to Move,3,N,NA,ABADev,1,2100000,"Vitrified,Marble",NA,Monthly,300,500000,opposite gaon devi mandir near G. R. PATIL COLLEGE.,525,vignesh plaza,4000,425,Dombivli East,East Facing Property,Sq-ft,Y,Co-operative Society,Unfurnished,1,NA,East,Main Road,New Property,3 of 4 Floor,Builder Floor Apartment,Thane,1,4,NA,F,Sq-ft,N,"Dombivli East, Thane",1 BHK Flat,Sq-ft,0,Less than 5 years,NA,NA,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
properties_csv.zip,11455,Ready to Move,2,N,Lodha,NA,1,3400000,"Vitrified,Ceramic Tiles",NA,NA,NA,NA,Xperia Mall,585,Lodha Casa Bella Gold,5812,445,Dombivli East,NA,Sq-ft,N,Co-operative Society,Unfurnished,1,NA,West,"Garden/Park, Pool, Main Road",Resale,2 of 8 Floor,Apartment,Thane,1,8,NA,F,Sq-ft,N,"Dombivli East, Thane",1 BHK Flat,Sq-ft,0,5 to 10 years,NA,NA,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
properties_csv.zip,11454,Ready to Move,4,N,NA,NA,NA,4900000,NA,NA,NA,NA,NA,Palava city.,881,NA,5562,618,Dombivli East,NA,Sq-ft,N,Freehold,Unfurnished,2,NA,North - East,"Garden/Park, Pool, Main Road",Resale,4 of 7 Floor,Apartment,Thane,2,7,NA,F,Sq-ft,N,"Dombivli East, Thane",2 BHK Flat,Sq-ft,0,5 to 10 years,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
properties_csv.zip,11453,Ready to Move,2,N,Lodha,KDMC,0,3300000,NA,No/Rare Powercut,NA,NA,50000,NA,525,Lodha Elite,6286,394,Dombivli East,East Facing Property,Sq-ft,N,Co-operative Society,Unfurnished,2,NA,East,"Garden/Park, Pool",Resale,2 of 4 Floor,Apartment,Thane,1,4,Water Availability 24 Hours Available,F,Sq-ft,N,"Dombivli East, Thane",1 BHK Flat,Sq-ft,0,5 to 10 years,1,NA,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
properties_csv.zip,11452,Ready to Move,3,N,The Runwal Group,TMC,1,4500000,Vitrified,No/Rare Powercut,Monthly,NA,500000,Metro Line Connecting Panvel in Progress.,645,Runwal My City Codename Walk,6976,401,Usarghar Gaon,East Facing Property,Sq-ft,N,Freehold,Unfurnished,2,1 Covered,East,Garden/Park,Resale,3 of 27 Floor,Apartment,Thane,1,27,Water Availability 24 Hours Available,F,Sq-ft,N,"Usarghar Gaon, Thane",1 BHK Flat,Sq-ft,0,Less than 5 years,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
properties_csv.zip,11451,Ready to Move,8,N,Shree Krishna Group,NA,NA,2700000,NA,NA,NA,NA,100000,12 bunglow,300,Gokuldham Society,9000,225,Dombivli East,NA,Sq-ft,N,NA,Unfurnished,1,NA,South,NA,Resale,8 of 9 Floor,Apartment,Thane,1,9,NA,F,Sq-ft,N,"Dombivli East, Thane",1 BHK Flat,Sq-ft,0,5 to 10 years,2,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
properties_csv.zip,11450,Ready to Move,7,N,NA,NA,NA,4500000,Vitrified,NA,NA,NA,NA,Near Bahinabai Garden,550,NA,8182,400,Dombivli East,Near Bahinabai Garden,Sq-ft,N,Co-operative Society,Unfurnished,1,NA,South - East,NA,Resale,7 of 7 Floor,Apartment,Thane,1,7,NA,F,Sq-ft,N,"Dombivli East, Thane",1 BHK Flat,Sq-ft,0,10 to 15 years,NA,NA,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
properties_csv.zip,11449,Ready to Move,3,N,Anmol Associate,NA,NA,5500000,Vitrified,NA,NA,NA,NA,opposite new guardian school,770,Anmol Shanti Niketan,7143,540,Dombivli East,East Facing Property,Sq-ft,N,Co-operative Society,Furnished,2,NA,East,Garden/Park,New Property,3 of 7 Floor,Apartment,Thane,1,7,NA,F,Sq-ft,N,"Dombivli East, Thane",1 BHK Flat,Sq-ft,0,Less than 5 years,3,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
properties_csv.zip,11448,Ready to Move,4,N,NA,NA,0,3200000,"Ceramic Tiles,Granite",NA,Monthly,750,150000,Dombivli Railway Station in 12 -15 mint Walking distance 1.3 Km.,650,NA,4923,470,Dombivli East,East Facing Property,Sq-ft,N,Freehold,Unfurnished,1,NA,East,Main Road,Resale,4 of 4 Floor,Apartment,Thane,1,4,NA,F,Sq-ft,N,"Dombivli East, Thane",1 BHK Flat,Sq-ft,0,5 to 10 years,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
