possession_status,availability_starts_from,floor_no,commercial,developer,approved_authority_name,units_available,price,price_english,flooring_type,electricity_status,maintenance_type,maintenance_charges,booking_amount,landmark,covered_area,project_name,sqft_price,carpet_area,area_name,property_uniqueness,unit_of_carpet_area,society,ownership_type,furnished_type,bathroom,parking,facing,amenities_facing,transaction_type,floor_data,type_of_property,city,bedroom,data_referred_from,floors,water_status,luxury_flat,covered_area_1,carpet_area_unit,isprimelocationproperty,tenants_preference,location,property,covarea_unit,isluxuryserviceprovided,property_lifespan,balconies,rera,power_back_up,lift,rain_water_harvesting,club_house,swimming_pool,gymnasium,park,parking_1,security,water_storage,private_terrace_garden,vaastu_compliant,service_goods_lift,air_conditioned,visitor_parking,intercom_facility,maintenance_staff,waste_disposal,laundry_service,internet_wi_fi_connectivity,dth_television_facility,ro_water_system,banquet_hall,bar_lounge,cafeteria_food_court,conference_room,piped_gas,jogging_and_strolling_track,outdoor_tennis_courts,mansion,downtown,skyline_view,wrap_around_balcony,island_kitchen_layout,full_glass_wall,house_help_accommodation,concierge_services,garden_view,marble_flooring,well_furnished,modular_kitchen,helipad,private_pool,private_jaccuzi,mini_cinema_theatre,golf_course,infinity_swimming_pool,pool_with_temperature_control,sea_facing,skydeck,earth_quake_resistant,theme_based_architectures,health_club_with_steam_jaccuzi,large_clubhouse,large_open_space,fingerprint_access,grand_entrance_lobby,private_garage,fireplace,wine_cellar,sky_villa,water_front,hilltop,smart_home,barbeque_space,kids_play_area,library,puja_room,study,servant_room,store,aerobics_room,canopy_walk,coffee_lounge_restaurants,dance_studio,event_space_amphitheatre,flower_gardens,guest_accommodation,indoor_squash_badminton_courts,kids_play_area,kids_play_pool_with_water_slides,library_and_business_centre,meditation_area,multipurpose_courts,recreational_pool,rentable_communipfty_space,retail_boulevard_retail_shops,cycling_jogging_track,fire_fighting_equipment,aesthetically_designed_landscape_garden,possession_by,nri_pref,land_area_covered_area,land_area_unit,pantry_type,price_per_sqft
6,5,1,0,59,5,25.0,2990000.0,127,41,1,0,1200.0,27000.0,294,550.0,85,5436.0,370.0,12,1,1,1,1,0,2.0,2,0,2,0,21,0,3,1.0,0,30.0,2,0,550.0,1,1,0,15,0,1,0.0,5,3.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,8081.081081081081
6,5,1,0,59,5,25.0,4190000.0,186,41,1,0,1500.0,27000.0,294,850.0,85,7618.0,570.0,12,1,1,1,1,1,2.0,0,0,1,0,21,0,3,2.0,0,30.0,2,0,850.0,1,1,0,15,1,1,0.0,5,3.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,7350.877192982456
5,6,33,1,92,6,4.0,4900000.0,203,41,1,0,1500.0,100000.0,281,595.0,97,8235.0,567.0,12,1,1,0,0,2,1.0,0,2,5,0,252,0,3,1.0,0,19.0,2,0,595.0,1,1,0,15,0,1,0.0,5,2.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,8641.975308641975
5,6,11,0,59,2,1.0,2187500.0,113,41,1,0,1000.0,51000.0,250,595.0,85,3676.0,450.0,12,1,1,1,1,2,1.0,0,2,0,0,117,0,3,1.0,0,3.0,2,0,595.0,1,1,0,15,0,1,0.0,5,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1500.0,12850.0,,4861.111111111111
5,6,7,0,23,6,0.0,4700000.0,200,41,1,2,3.0,100000.0,149,695.0,39,6763.0,462.0,12,1,1,0,0,2,1.0,0,3,5,1,79,0,3,1.0,0,18.0,2,0,695.0,1,1,0,15,0,1,0.0,4,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,10173.160173160173
6,15,33,0,59,1,10.0,10450000.0,3,41,1,0,1600.0,51000.0,49,710.5,85,10674.0,980.0,12,1,1,1,1,2,2.0,1,2,0,0,258,0,3,3.0,0,26.0,2,0,710.5,1,1,0,15,2,1,0.0,5,3.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,10663.265306122448
6,33,9,0,59,5,4.0,12000000.0,13,41,1,0,2500.0,100000.0,283,1350.0,85,8889.0,927.0,12,1,1,0,3,2,3.0,2,0,4,0,100,0,3,3.0,0,36.0,2,0,1350.0,1,1,0,15,2,1,0.0,5,3.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,12944.983818770226
6,24,33,0,23,5,3.0,7000000.0,239,41,1,0,2500.0,51000.0,17,960.0,39,7608.0,650.0,12,1,1,0,1,2,2.0,2,2,3,1,256,0,3,2.0,0,23.0,2,0,960.0,1,1,0,15,1,1,0.0,5,2.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,10769.23076923077
6,4,33,0,69,5,7.0,7000000.0,239,41,1,0,0.0,100000.0,256,1010.0,96,6930.0,761.0,12,1,1,1,1,2,2.0,2,2,4,0,250,0,3,2.0,0,15.0,2,0,1010.0,1,1,0,15,1,1,0.0,5,2.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,9198.423127463864
5,6,27,0,2,5,1.0,4800000.0,202,41,1,2,4.0,51000.0,252,711.0,4,6751.0,460.0,12,1,1,0,1,2,2.0,0,2,5,1,183,0,3,1.0,0,21.0,1,0,711.0,1,1,0,15,0,1,0.0,4,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,10434.782608695652
6,1,12,0,11,5,50.0,9500000.0,271,4,1,0,4500.0,100000.0,293,1000.0,23,9500.0,661.0,12,1,1,1,1,1,2.0,0,3,4,0,129,0,3,2.0,0,38.0,2,0,1000.0,1,1,0,15,1,1,0.0,5,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,14372.163388804842
6,5,9,0,2,5,10.0,7499000.0,244,7,1,0,0.0,45000.0,93,709.0,82,12415.0,709.0,12,1,1,1,1,2,2.0,0,2,4,0,96,0,3,2.0,0,27.0,2,0,709.0,1,1,0,15,1,1,0.0,5,2.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,10576.868829337094
5,3,29,0,2,5,2.0,4500000.0,195,41,1,0,2200.0,51000.0,251,675.0,3,6666.0,450.0,12,1,1,1,1,2,2.0,2,0,4,0,199,0,3,1.0,0,21.0,2,0,675.0,1,1,0,15,0,1,0.0,5,3.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,10000.0
